# Height [m];Temperature [K];Wind Speed [m/s];Relative Humidity [%]
7.429718875502008046e+00;2.849595046854082057e+02;1.993028696273862144e+00;7.022623828647925848e+01
7.530120481927710330e+00;2.849578313253011288e+02;1.997859230663600494e+00;7.023042168674699326e+01
7.630522088353413501e+00;2.849561579651940519e+02;2.002626034816738620e+00;7.023460508701472804e+01
7.730923694779116673e+00;2.849544846050869182e+02;2.007330768472075366e+00;7.023878848728246282e+01
7.831325301204818956e+00;2.849528112449798414e+02;2.011975027363615443e+00;7.024297188755021182e+01
7.931726907630522128e+00;2.849511378848727645e+02;2.016560346469819187e+00;7.024715528781794660e+01
8.032128514056225299e+00;2.849494645247656877e+02;2.021088203059241639e+00;7.025133868808568138e+01
8.132530120481927582e+00;2.849477911646585540e+02;2.025560019547690160e+00;7.025552208835341617e+01
8.232931726907629866e+00;2.849461178045514771e+02;2.029977166180718218e+00;7.025970548862115095e+01
8.333333333333332149e+00;2.849444444444444002e+02;2.034340963554124748e+00;7.026388888888889994e+01
8.433734939759036209e+00;2.849427710843372665e+02;2.038652684984045838e+00;7.026807228915663472e+01
8.534136546184740268e+00;2.849410977242301897e+02;2.042913558737291524e+00;7.027225568942436951e+01
8.634538152610442552e+00;2.849394243641231128e+02;2.047124770131700799e+00;7.027643908969210429e+01
8.734939759036144835e+00;2.849377510040159791e+02;2.051287463515495624e+00;7.028062248995983907e+01
8.835341365461847118e+00;2.849360776439089022e+02;2.055402744133904669e+00;7.028480589022758807e+01
8.935742971887549402e+00;2.849344042838018254e+02;2.059471679890681806e+00;7.028898929049532285e+01
9.036144578313253461e+00;2.849327309236946917e+02;2.063495303011531057e+00;7.029317269076305763e+01
9.136546184738955745e+00;2.849310575635876148e+02;2.067474611615930158e+00;7.029735609103079241e+01
9.236947791164658028e+00;2.849293842034805380e+02;2.071410571203335049e+00;7.030153949129852720e+01
9.337349397590362088e+00;2.849277108433734043e+02;2.075304116059304427e+00;7.030572289156627619e+01
9.437751004016064371e+00;2.849260374832663274e+02;2.079156150586659813e+00;7.030990629183401097e+01
9.538152610441766655e+00;2.849243641231592505e+02;2.082967550566441339e+00;7.031408969210174575e+01
9.638554216867468938e+00;2.849226907630521168e+02;2.086739164353038856e+00;7.031827309236948054e+01
9.738955823293171221e+00;2.849210174029450400e+02;2.090471814007591966e+00;7.032245649263721532e+01
9.839357429718875281e+00;2.849193440428379631e+02;2.094166296373438652e+00;7.032663989290496431e+01
9.939759036144579341e+00;2.849176706827308294e+02;2.097823384097135424e+00;7.033082329317269910e+01
1.004016064257028162e+01;2.849159973226237526e+02;2.101443826598321962e+00;7.033500669344043388e+01
1.014056224899598391e+01;2.849143239625166757e+02;2.105028350991474451e+00;7.033919009370816866e+01
1.024096385542168619e+01;2.849126506024095988e+02;2.108577662962380472e+00;7.034337349397590344e+01
1.034136546184738847e+01;2.849109772423024651e+02;2.112092447601985779e+00;7.034755689424365244e+01
1.044176706827309253e+01;2.849093038821953883e+02;2.115573370200068748e+00;7.035174029451138722e+01
1.054216867469879482e+01;2.849076305220883114e+02;2.119021077001047804e+00;7.035592369477912200e+01
1.064257028112449710e+01;2.849059571619811777e+02;2.122436195924069846e+00;7.036010709504685678e+01
1.074297188755020116e+01;2.849042838018741008e+02;2.125819337249382102e+00;7.036429049531459157e+01
1.084337349397590344e+01;2.849026104417670240e+02;2.129171094272869436e+00;7.036847389558234056e+01
1.094377510040160573e+01;2.849009370816598903e+02;2.132492043930505510e+00;7.037265729585007534e+01
1.104417670682730979e+01;2.848992637215528134e+02;2.135782747394372461e+00;7.037684069611781013e+01
1.114457831325301207e+01;2.848975903614457366e+02;2.139043750641780317e+00;7.038102409638554491e+01
1.124497991967871435e+01;2.848959170013386029e+02;2.142275584998931670e+00;7.038520749665327969e+01
1.134538152610441841e+01;2.848942436412315260e+02;2.145478767660487840e+00;7.038939089692102868e+01
1.144578313253012070e+01;2.848925702811244491e+02;2.148653802186303530e+00;7.039357429718876347e+01
1.154618473895582298e+01;2.848908969210173154e+02;2.151801178976530338e+00;7.039775769745649825e+01
1.164658634538152526e+01;2.848892235609102386e+02;2.154921375726201127e+00;7.040194109772423303e+01
1.174698795180722755e+01;2.848875502008031617e+02;2.158014857860353075e+00;7.040612449799196781e+01
1.184738955823293161e+01;2.848858768406960280e+02;2.161082078950686380e+00;7.041030789825971681e+01
1.194779116465863567e+01;2.848842034805889512e+02;2.164123481114681002e+00;7.041449129852745159e+01
1.204819277108433795e+01;2.848825301204818743e+02;2.167139495398054283e+00;7.041867469879518637e+01
1.214859437751004023e+01;2.848808567603747406e+02;2.170130542141393892e+00;7.042285809906292116e+01
1.224899598393574252e+01;2.848791834002676637e+02;2.173097031331731266e+00;7.042704149933065594e+01
1.234939759036144480e+01;2.848775100401605869e+02;2.176039362939807376e+00;7.043122489959840493e+01
1.244979919678714886e+01;2.848758366800535100e+02;2.178957927243712067e+00;7.043540829986613971e+01
1.255020080321285114e+01;2.848741633199463763e+02;2.181853105139556437e+00;7.043959170013387450e+01
1.265060240963855342e+01;2.848724899598392994e+02;2.184725268439797308e+00;7.044377510040160928e+01
1.275100401606425748e+01;2.848708165997322226e+02;2.187574780159800003e+00;7.044795850066934406e+01
1.285140562248995977e+01;2.848691432396250889e+02;2.190401994793185647e+00;7.045214190093709306e+01
1.295180722891566205e+01;2.848674698795180120e+02;2.193207258576492347e+00;7.045632530120482784e+01
1.305220883534136611e+01;2.848657965194109352e+02;2.195990909743637420e+00;7.046050870147256262e+01
1.315261044176706839e+01;2.848641231593038015e+02;2.198753278770657626e+00;7.046469210174029740e+01
1.325301204819277068e+01;2.848624497991967246e+02;2.201494688611156825e+00;7.046887550200803219e+01
1.335341365461847474e+01;2.848607764390896477e+02;2.204215454922895390e+00;7.047305890227578118e+01
1.345381526104417702e+01;2.848591030789825140e+02;2.206915886285909512e+00;7.047724230254351596e+01
1.355421686746987930e+01;2.848574297188754372e+02;2.209596284412537415e+00;7.048142570281125074e+01
1.365461847389558159e+01;2.848557563587683603e+02;2.212256944349716203e+00;7.048560910307898553e+01
1.375502008032128387e+01;2.848540829986612266e+02;2.214898154673882402e+00;7.048979250334672031e+01
1.385542168674698793e+01;2.848524096385541498e+02;2.217520197678799931e+00;7.049397590361446930e+01
1.395582329317269199e+01;2.848507362784470729e+02;2.220123349556622383e+00;7.049815930388220409e+01
1.405622489959839427e+01;2.848490629183399392e+02;2.222707880572482253e+00;7.050234270414993887e+01
1.415662650602409656e+01;2.848473895582328623e+02;2.225274055232872694e+00;7.050652610441767365e+01
1.425702811244979884e+01;2.848457161981257855e+02;2.227822132448099346e+00;7.051070950468540843e+01
1.435742971887550112e+01;2.848440428380186518e+02;2.230352365689040273e+00;7.051489290495315743e+01
1.445783132530120518e+01;2.848423694779115749e+02;2.232865003138456483e+00;7.051907630522089221e+01
1.455823293172690747e+01;2.848406961178044980e+02;2.235360287837074633e+00;7.052325970548862699e+01
1.465863453815260975e+01;2.848390227576974212e+02;2.237838457824661731e+00;7.052744310575636177e+01
1.475903614457831381e+01;2.848373493975902875e+02;2.240299746276298798e+00;7.053162650602409656e+01
1.485943775100401609e+01;2.848356760374832106e+02;2.242744381634036444e+00;7.053580990629184555e+01
1.495983935742971838e+01;2.848340026773761338e+02;2.245172587734130865e+00;7.053999330655958033e+01
1.506024096385542244e+01;2.848323293172690001e+02;2.247584583930034796e+00;7.054417670682731512e+01
1.516064257028112472e+01;2.848306559571619232e+02;2.249980585211304174e+00;7.054836010709504990e+01
