# Range [m]; Height [m]; Real(p) [Pa]; Imag(p) [Pa]
1.267225052614132785e+01;3.080022740648890078e+01;2.327115269666645068e-04;5.394062262147915603e-04
1.267386800900466781e+01;3.180606740422941314e+01;-2.644208962943160753e-04;-5.708805136431016397e-04
1.266965205583276877e+01;3.281190741236808606e+01;2.389163523625863889e-04;6.276597478063970217e-04
1.266973315703911496e+01;3.381774741212299062e+01;-1.984214625813553580e-04;-6.888170482927352505e-04
1.266881204497519242e+01;3.482358741534455504e+01;1.594918736726816399e-04;7.413050552201475105e-04
1.266594784593599776e+01;3.579894742080418979e+01;-7.753699995144347696e-05;-7.534938907156967739e-04
1.266670282209268095e+01;3.680478741941253418e+01;1.105219243096225283e-04;7.321876755203772947e-04
1.268393018964010643e+01;3.781062738447783289e+01;4.569636991412863637e-05;-7.269526181382641008e-04
1.266906393134579645e+01;3.881646741333258177e+01;3.723260737971542997e-05;7.369980461649060927e-04
1.266324009091522562e+01;3.982230742595221784e+01;-6.426546151781775944e-05;-7.453360601410823072e-04
1.266221796275205591e+01;4.079766742772672217e+01;-2.661605326763414307e-05;7.333499965547803220e-04
1.268392704782544911e+01;4.180350738508727915e+01;-2.568504037689823828e-05;-7.477703964907521546e-04
1.267718088447189650e+01;4.280934739716772697e+01;1.543813337731442801e-04;7.502129985434446459e-04
1.265550872181544051e+01;4.381518744068404203e+01;-1.012668752758033765e-04;-7.306621247423797068e-04
1.267596879938079013e+01;4.482102740048297562e+01;1.171618490871147579e-04;6.860745164274614002e-04
1.267366247889312092e+01;4.579638740388469387e+01;-2.947340296749076057e-04;-6.570615838101034672e-04
1.267118672939369084e+01;4.680222740953069405e+01;2.482561350675032189e-04;6.903567872286925410e-04
1.268753641728121906e+01;4.780806737713852783e+01;-3.370001710359374803e-04;-6.308717109148153767e-04
1.268862758509254185e+01;4.881390737469612162e+01;4.566720202453854812e-04;5.742367285627897376e-04
1.266555790165756079e+01;4.969782742092836969e+01;-2.779935835742197432e-04;-6.942231226051596375e-04
1.966595973209388859e+01;1.813729671311218539e+00;-3.007461777342971252e-04;1.989475672622118582e-04
1.968962826265476096e+01;2.819569598391142407e+00;-5.229136447411940943e-04;-7.485762250763004083e-04
1.971623651814066847e+01;3.795989690642412207e+00;-1.566347600479570416e-03;-5.912896860131413093e-04
1.970168680912799530e+01;4.800769560924267765e+00;-1.932597633393833350e-03;3.383886724519783373e-04
1.966209793913503745e+01;5.806609683595689297e+00;-1.286683305766127966e-03;1.163281491799230414e-03
1.964453286545071364e+01;6.812449739244343050e+00;-4.195750553426080668e-05;1.077890641387043921e-03
1.965343952707050335e+01;7.818289710570633488e+00;1.523867742459417607e-04;2.572510472115280430e-04
1.969466441449925753e+01;8.793649583656669932e+00;-2.184876674224603269e-04;5.814454687469443502e-04
1.968577207836097642e+01;9.799489611981204717e+00;9.769686696031293881e-04;8.697604924526219959e-04
1.969810526178581256e+01;1.080532957283232065e+01;1.106944475915557728e-03;-1.212826044210292076e-03
