# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;5.163541637263794655e+03;-5.146743620952987444e-04;3.641285007964554328e-04
1.000000000000000000e+04;5.165129632104262782e+03;-5.113472071488007120e-04;3.666028892528325005e-04
1.000000000000000000e+04;5.212492728504766092e+03;-4.249393453144675501e-04;4.639261311046963569e-04
1.000000000000000000e+04;5.214080717299717435e+03;-4.209457850784125332e-04;4.656879935948750522e-04
1.000000000000000000e+04;5.261443787278467425e+03;-3.205657936595997150e-04;5.408879838692166615e-04
1.000000000000000000e+04;5.263031798495556359e+03;-3.163548232218174020e-04;5.417823214812755037e-04
1.000000000000000000e+04;5.310394810273225630e+03;-1.956946257069319597e-04;5.947929968143485322e-04
1.000000000000000000e+04;5.311982842822387283e+03;-1.914500342192280286e-04;5.948095465505348275e-04
1.000000000000000000e+04;5.359345834810180349e+03;-6.459009673438234850e-05;6.220293918941041536e-04
1.000000000000000000e+04;5.360933868595431704e+03;-6.027439341974016456e-05;6.210058334489369216e-04
1.000000000000000000e+04;5.408296885366633433e+03;7.026577587272098894e-05;6.227028512108783017e-04
1.000000000000000000e+04;5.409884909633963616e+03;7.417565727738560861e-05;6.208707411719283390e-04
1.000000000000000000e+04;5.457247951857237240e+03;2.034715619617893760e-04;5.900511753339765780e-04
1.000000000000000000e+04;5.458835975892835449e+03;2.070004962562642891e-04;5.873806583889728747e-04
1.000000000000000000e+04;5.506199009544136970e+03;3.260414790685761005e-04;5.328979752983622033e-04
1.000000000000000000e+04;5.507787049219347864e+03;3.288605717527219824e-04;5.294754519201733296e-04
1.000000000000000000e+04;5.555150050176574041e+03;4.351148634767699661e-04;4.482998895037970471e-04
1.000000000000000000e+04;5.556738108340759936e+03;4.372039443849202490e-04;4.442974246672425792e-04
1.000000000000000000e+04;5.604101093073269112e+03;5.212226552596981770e-04;3.428635007869966153e-04
1.000000000000000000e+04;5.605689160213705691e+03;5.223524897716542385e-04;3.385803094586465342e-04
1.000000000000000000e+04;5.653052156618061417e+03;5.832758892329432086e-04;2.151115990574315438e-04
1.000000000000000000e+04;5.654640235098583616e+03;5.835097928174854493e-04;2.106163989325677568e-04
1.000000000000000000e+04;5.702003211707276932e+03;6.152559055677069661e-04;8.450602703913484071e-05
1.000000000000000000e+04;5.703591325007048908e+03;6.143292422514800991e-04;7.997103715392540055e-05
1.000000000000000000e+04;5.750954232152231270e+03;6.187975459726771481e-04;-6.035091912230572029e-05
1.000000000000000000e+04;5.752542375699507829e+03;6.170693697487756885e-04;-6.438154762693295587e-05
1.000000000000000000e+04;5.799905236634766879e+03;5.843994182299119518e-04;-1.946592190789102534e-04
1.000000000000000000e+04;5.801493345500726718e+03;5.816563427459710929e-04;-1.984112613385417714e-04
1.000000000000000000e+04;5.848856325059817209e+03;5.277292146819773837e-04;-3.268156459445058313e-04
1.000000000000000000e+04;5.850444373249222735e+03;5.241655225710885541e-04;-3.296850984310741354e-04
1.000000000000000000e+04;5.897807417899147367e+03;4.363373160966818902e-04;-4.333662219466904346e-04
1.000000000000000000e+04;5.899395450077570786e+03;4.322884858585256855e-04;-4.355586309776745212e-04
1.000000000000000000e+04;5.946758462638875244e+03;3.239514342911042747e-04;-5.270997577274381431e-04
1.000000000000000000e+04;5.948346533907598314e+03;3.194257460834184874e-04;-5.280524836209072020e-04
1.000000000000000000e+04;5.995709464953489260e+03;1.938925567685514625e-04;-5.828754371647185475e-04
1.000000000000000000e+04;5.997297560756142047e+03;1.891685903615869296e-04;-5.830390175916139693e-04
1.000000000000000000e+04;6.044660493364462127e+03;5.300418581907041316e-05;-6.158032011986009106e-04
1.000000000000000000e+04;6.046248569516188581e+03;4.848524833403709133e-05;-6.146169078151795953e-04
1.000000000000000000e+04;6.093611573861038778e+03;-9.370597728022123747e-05;-6.054233509576306942e-04
1.000000000000000000e+04;6.095199651273967902e+03;-9.794369790014068034e-05;-6.034469619390129234e-04
1.000000000000000000e+04;6.142562638619603604e+03;-2.318923063916289006e-04;-5.706182243574854478e-04
1.000000000000000000e+04;6.144150761522480934e+03;-2.355482918308796406e-04;-5.674032902318243204e-04
1.000000000000000000e+04;6.191513638650218127e+03;-3.600734024033273276e-04;-4.954552324204215645e-04
1.000000000000000000e+04;6.193101793408055528e+03;-3.628267876542883756e-04;-4.917634687293390757e-04
1.000000000000000000e+04;6.240464677804388884e+03;-4.673803201564129782e-04;-3.952459626450306523e-04
1.000000000000000000e+04;6.242052767228798075e+03;-4.692375920137458129e-04;-3.907472204354913033e-04
1.000000000000000000e+04;6.289415759245384834e+03;-5.460932378087103231e-04;-2.715985100434094822e-04
1.000000000000000000e+04;6.291003791814497163e+03;-5.467818665415846713e-04;-2.668644015157913300e-04
1.000000000000000000e+04;6.338366848235988982e+03;-5.960704195934689959e-04;-1.306997743936512716e-04
1.000000000000000000e+04;6.339954873174240674e+03;-5.955777424051214488e-04;-1.259136228997229979e-04
1.000000000000000000e+04;6.387317893640572947e+03;-6.071349202831297087e-04;1.795724216772645861e-05
1.000000000000000000e+04;6.388905934710404836e+03;-6.055586079986751335e-04;2.250395716047928814e-05
1.000000000000000000e+04;6.436268930438209281e+03;-5.839253370396523760e-04;1.673503590701929875e-04
1.000000000000000000e+04;6.437856982126398179e+03;-5.811646980935357854e-04;1.714110815123983419e-04
1.000000000000000000e+04;6.485219972246404723e+03;-5.257473882494164688e-04;3.025528037371484906e-04
1.000000000000000000e+04;6.486808043469086442e+03;-5.221209447857317948e-04;3.058586713918033705e-04
1.000000000000000000e+04;6.534170998798877918e+03;-4.316958832652588994e-04;4.267609870510089476e-04
1.000000000000000000e+04;6.535759092090072954e+03;-4.273987457884152394e-04;4.289633181637246204e-04
1.000000000000000000e+04;6.583122043270839640e+03;-3.143723637457292207e-04;5.159597404901167857e-04
1.000000000000000000e+04;6.584710119814431891e+03;-3.094887388639564699e-04;5.172237500960594073e-04
1.000000000000000000e+04;6.632073129958619575e+03;-1.750618147693395175e-04;5.816561726518152103e-04
1.000000000000000000e+04;6.633661194027818055e+03;-1.701743349053194199e-04;5.814616898289363999e-04
1.000000000000000000e+04;6.681024194675458602e+03;-2.329902349430114131e-05;6.011338278057811770e-04
1.000000000000000000e+04;6.682612276910852415e+03;-1.853519906090931484e-05;5.999289550810091862e-04
1.000000000000000000e+04;6.729975205768031628e+03;1.297989375463964271e-04;5.910142262290633179e-04
